applicant_id,age,annual_income,employment_years,credit_score,loan_amount,loan_term_months,num_credit_lines,debt_to_income,previous_defaults,home_ownership,loan_purpose,default
1,22,40600.0,2.2,610,26200.0,12,1,0.289,0,Mortgage,Debt consolidation,0
2,59,39000.0,20.1,683,30100.0,60,5,0.052,0,Mortgage,Medical,0
3,52,72000.0,17.0,688,26600.0,36,4,0.329,0,Mortgage,Education,0
4,41,73800.0,9.2,568,12500.0,36,5,0.204,0,Rent,Debt consolidation,0
5,40,37500.0,1.8,600,14700.0,24,4,0.496,0,Rent,Medical,0
6,63,40100.0,14.7,605,34800.0,36,6,0.284,0,Rent,Home improvement,1
7,22,64300.0,3.9,656,14900.0,36,2,0.087,0,Rent,Debt consolidation,0
8,54,32400.0,9.7,829,6400.0,36,5,0.365,0,Rent,Debt consolidation,0
9,28,39900.0,3.0,595,34000.0,36,4,0.042,0,Rent,Debt consolidation,1
10,22,51300.0,2.6,592,44000.0,36,3,0.231,0,Mortgage,Debt consolidation,0
11,45,80700.0,15.2,579,14300.0,24,2,0.119,0,Mortgage,Business,0
12,69,36200.0,18.7,721,25500.0,24,3,0.277,0,Mortgage,Business,0
13,56,19500.0,13.3,667,8100.0,36,1,0.141,0,Rent,Car,0
14,58,18800.0,15.8,598,8800.0,24,5,0.555,0,Mortgage,Debt consolidation,0
15,56,26100.0,16.3,641,12400.0,24,5,0.059,0,Own,Home improvement,0
16,59,25400.0,15.9,607,22200.0,24,2,0.241,0,Own,Business,0
17,45,45400.0,13.9,694,9400.0,60,4,0.245,2,Mortgage,Education,0
18,24,27100.0,0.0,850,19200.0,36,1,0.313,0,Mortgage,Education,0
19,62,34500.0,18.0,714,1900.0,36,2,0.204,0,Own,Debt consolidation,0
20,41,,10.5,663,19500.0,36,3,0.346,0,Rent,Debt consolidation,0
21,44,39300.0,9.2,617,23800.0,36,6,0.197,0,Rent,Business,0
22,37,95000.0,10.1,563,65600.0,24,10,0.332,0,Mortgage,Business,0
23,27,68300.0,4.0,729,57200.0,36,3,0.596,0,Rent,Debt consolidation,1
24,67,49400.0,22.0,724,34100.0,36,2,0.423,0,Rent,Medical,0
25,59,38900.0,17.0,633,26200.0,36,8,0.19,0,Own,Medical,0
26,52,39500.0,14.7,767,10500.0,24,5,0.101,1,Rent,Debt consolidation,0
27,39,57700.0,6.5,672,51600.0,60,4,0.764,0,Mortgage,Education,0
28,61,65600.0,15.3,732,29400.0,48,3,0.361,0,Rent,Debt consolidation,0
29,46,31100.0,14.9,694,12600.0,12,3,0.147,0,Rent,Medical,0
30,41,49900.0,11.1,656,23800.0,60,4,0.399,0,Rent,Debt consolidation,0
31,41,,6.1,594,6900.0,24,3,0.636,0,Rent,Medical,1
32,30,54500.0,5.3,658,30200.0,12,4,0.326,0,Rent,Business,0
33,22,71800.0,0.0,737,24900.0,24,6,0.196,0,Mortgage,Debt consolidation,0
34,47,42600.0,9.9,629,10800.0,60,3,0.18,1,Mortgage,Car,0
35,65,121600.0,21.7,705,102000.0,24,3,0.528,0,Rent,Medical,0
36,21,31600.0,0.8,583,26500.0,48,3,0.1,0,Mortgage,Business,1
37,63,54700.0,18.4,732,25800.0,36,2,0.155,0,Mortgage,Education,0
38,61,48200.0,8.2,695,41800.0,36,9,0.414,0,Rent,Business,0
39,32,46600.0,4.4,574,18800.0,36,4,0.315,0,Rent,Business,1
40,51,46300.0,14.2,652,17600.0,12,8,0.372,2,Mortgage,Debt consolidation,0
41,26,51700.0,4.6,745,42900.0,48,5,0.271,1,Mortgage,Home improvement,0
42,58,74900.0,18.9,569,44000.0,36,4,0.471,0,Rent,Car,0
43,55,97600.0,14.2,584,68100.0,36,6,0.205,0,Rent,Medical,0
44,36,49000.0,6.7,664,19600.0,12,2,0.262,0,Mortgage,Debt consolidation,0
45,21,73700.0,0.0,841,29200.0,48,4,0.32,0,Mortgage,Car,0
46,69,34500.0,19.8,616,4200.0,48,2,0.229,0,Mortgage,Debt consolidation,0
47,41,,5.4,710,62700.0,36,2,0.293,0,Rent,Business,0
48,65,33500.0,13.3,691,8200.0,36,5,0.404,0,Mortgage,Home improvement,0
49,53,84600.0,10.7,623,39800.0,36,6,0.18,0,Rent,Debt consolidation,0
50,59,148100.0,20.9,683,21800.0,36,5,0.604,0,Mortgage,Education,0
51,58,46100.0,15.2,634,27700.0,12,3,0.427,0,Rent,Debt consolidation,1
52,28,16400.0,4.7,641,6300.0,48,2,0.258,0,Rent,Car,0
53,37,37300.0,6.1,537,26200.0,12,5,0.544,0,Mortgage,Car,1
54,42,90800.0,4.2,668,45300.0,12,3,0.66,0,Mortgage,Debt consolidation,0
55,44,64600.0,13.2,742,10300.0,12,4,0.12,1,Rent,Car,0
56,20,55500.0,0.0,675,3300.0,24,4,0.521,0,Rent,Car,0
57,46,81200.0,9.5,757,18700.0,36,3,0.046,0,Mortgage,Debt consolidation,0
58,26,62500.0,,716,41600.0,48,2,0.212,0,Mortgage,Debt consolidation,0
59,57,90100.0,16.3,665,68000.0,36,2,0.264,0,Rent,Education,0
60,54,77600.0,12.2,620,26400.0,36,1,0.472,0,Mortgage,Home improvement,0
61,66,104900.0,13.7,631,53000.0,36,4,0.062,0,Own,Education,0
62,57,58700.0,13.2,552,14900.0,36,4,0.248,0,Mortgage,Education,0
63,37,77100.0,5.4,649,61600.0,60,6,0.495,0,Mortgage,Medical,0
64,69,42000.0,18.1,682,36600.0,60,5,0.275,0,Mortgage,Business,0
65,39,36300.0,11.3,807,25000.0,60,3,0.057,1,Own,Education,0
66,35,115100.0,3.2,712,14500.0,60,7,0.2,0,Rent,Education,0
67,65,54600.0,19.7,601,23000.0,60,5,0.465,0,Rent,Car,0
68,37,73300.0,8.1,555,65400.0,36,5,0.241,1,Mortgage,Debt consolidation,1
69,22,52100.0,4.0,653,12800.0,36,3,0.227,0,Rent,Debt consolidation,1
70,42,36600.0,9.2,735,22700.0,48,5,0.448,0,Rent,Home improvement,1
71,60,49300.0,19.2,652,41800.0,24,6,0.413,1,Own,Medical,0
72,28,100500.0,3.5,713,71100.0,36,3,0.142,0,Mortgage,Debt consolidation,0
73,42,64700.0,10.9,656,36700.0,60,4,0.166,0,Rent,Business,0
74,24,20800.0,,727,10000.0,36,3,0.107,0,Rent,Home improvement,1
75,54,44000.0,6.5,542,36900.0,12,5,0.342,0,Mortgage,Home improvement,1
76,43,119500.0,11.1,798,46100.0,36,4,0.168,0,Mortgage,Business,0
77,35,44100.0,8.1,581,36000.0,24,2,0.027,0,Rent,Debt consolidation,0
78,30,19900.0,6.2,733,8300.0,36,6,0.031,0,Mortgage,Business,0
79,47,126300.0,10.0,648,87500.0,36,6,0.44,0,Own,Education,0
80,53,69000.0,18.5,661,57200.0,36,2,0.264,0,Rent,Medical,0
81,67,47300.0,18.2,651,24500.0,36,5,0.142,0,Mortgage,Car,0
82,41,40700.0,10.5,690,12800.0,12,0,0.235,0,Rent,Debt consolidation,0
83,26,84200.0,5.0,707,7900.0,36,5,0.379,2,Own,Debt consolidation,0
84,62,37400.0,22.8,755,27600.0,12,3,0.208,0,Rent,Debt consolidation,0
85,51,87000.0,12.2,783,50300.0,36,1,0.398,1,Rent,Car,0
86,55,64300.0,12.8,697,17600.0,36,4,0.341,0,Rent,Business,0
87,23,55400.0,0.0,807,44100.0,24,6,0.308,0,Rent,Car,0
88,34,52700.0,11.1,677,43900.0,60,5,0.228,0,Mortgage,Car,0
89,58,44900.0,17.3,756,36100.0,36,2,0.15,0,Rent,Car,0
90,62,82700.0,19.0,704,46400.0,24,6,0.164,0,Mortgage,Debt consolidation,0
91,41,31800.0,18.6,626,28000.0,36,6,0.303,0,Mortgage,Education,0
92,60,21800.0,17.8,684,17300.0,12,5,0.623,0,Rent,Debt consolidation,0
93,62,66700.0,13.7,710,9200.0,12,2,0.386,0,Rent,Home improvement,0
94,38,67200.0,7.4,667,59400.0,60,4,0.26,0,Rent,Home improvement,0
95,65,62300.0,15.9,703,32200.0,48,3,0.387,0,Mortgage,Car,0
96,33,60100.0,4.8,739,50000.0,48,1,0.336,0,Rent,Business,1
97,30,41800.0,3.6,668,29100.0,36,4,0.096,0,Mortgage,Business,0
98,54,72700.0,12.6,434,43700.0,60,7,0.136,0,Mortgage,Business,0
99,51,47900.0,9.0,804,15700.0,60,5,0.034,0,Own,Education,0
100,25,38400.0,7.0,646,2800.0,12,6,0.411,0,Own,Home improvement,0
101,62,41900.0,18.5,604,12000.0,24,4,0.19,0,Rent,Medical,0
102,28,134600.0,3.3,580,85200.0,36,6,0.222,2,Mortgage,Home improvement,1
103,60,20600.0,19.1,643,16100.0,36,6,0.171,0,Mortgage,Education,0
104,18,62900.0,0.0,625,3300.0,36,8,0.207,0,Mortgage,Debt consolidation,0
105,60,21200.0,17.6,611,4800.0,24,3,0.276,0,Rent,Education,0
106,59,46400.0,18.5,615,28900.0,48,4,0.255,1,Rent,Education,0
107,59,39500.0,16.8,712,11500.0,12,3,0.208,0,Rent,Car,0
108,53,17300.0,16.0,832,2900.0,48,5,0.269,0,Rent,Home improvement,0
109,42,59500.0,11.9,736,7100.0,36,5,0.12,0,Mortgage,Home improvement,0
110,55,40500.0,15.3,760,24000.0,12,6,0.044,0,Mortgage,Debt consolidation,0
111,32,17200.0,4.9,640,9600.0,60,1,0.216,0,Mortgage,Education,0
112,59,74600.0,21.0,678,58200.0,36,4,0.18,0,Mortgage,Medical,0
113,47,,10.2,704,31900.0,48,2,0.144,0,Mortgage,Business,0
114,42,,10.8,617,17200.0,60,4,0.137,0,Rent,Debt consolidation,0
115,44,58700.0,11.6,636,42800.0,12,2,0.124,0,Rent,Home improvement,0
116,48,50200.0,10.2,738,44700.0,24,5,0.246,0,Rent,Home improvement,0
117,19,95200.0,0.0,757,33900.0,24,2,0.341,0,Rent,Business,0
118,25,113700.0,1.7,675,89300.0,12,5,0.433,0,Mortgage,Medical,0
119,31,86400.0,3.7,574,60300.0,60,5,0.377,0,Mortgage,Car,1
120,24,30600.0,0.0,646,25200.0,60,4,0.215,0,Rent,Debt consolidation,0
121,41,54200.0,7.2,555,22300.0,36,3,0.15,0,Mortgage,Debt consolidation,0
122,53,61100.0,14.8,676,8300.0,48,2,0.102,0,Mortgage,Home improvement,0
123,52,19800.0,,690,3000.0,60,4,0.241,1,Rent,Business,0
124,42,62000.0,11.3,648,43300.0,24,4,0.266,0,Mortgage,Business,1
125,63,152700.0,10.2,689,119700.0,12,3,0.357,0,Rent,Medical,0
126,47,67500.0,13.5,703,29600.0,60,4,0.202,0,Rent,Home improvement,0
127,22,102400.0,0.0,691,10300.0,48,7,0.402,0,Own,Medical,0
128,58,53700.0,17.4,574,5700.0,24,3,0.119,0,Mortgage,Business,0
129,48,47300.0,12.0,650,26400.0,36,4,0.355,0,Mortgage,Debt consolidation,0
130,51,59300.0,12.6,703,49300.0,24,4,0.185,1,Rent,Car,0
131,47,32600.0,11.3,796,12700.0,36,3,0.325,0,Rent,Debt consolidation,0
132,47,30300.0,11.5,648,18300.0,36,6,0.083,0,Mortgage,Debt consolidation,1
133,22,92300.0,4.0,714,47100.0,24,3,0.466,0,Rent,Home improvement,0
