,count,mean,std,min,25%,50%,75%,max
applicant_id,5000.0,2500.5,1443.52,1.0,1250.75,2500.5,3750.25,5000.0
age,5000.0,43.93,15.34,18.0,31.0,44.0,57.0,70.0
annual_income,4850.0,55952.33,30068.07,5500.0,35200.0,48800.0,69075.0,275700.0
employment_years,4800.0,10.35,6.66,0.0,4.9,10.3,15.6,29.9
credit_score,5000.0,671.49,79.68,359.0,617.0,670.0,726.0,850.0
loan_amount,5000.0,27150.84,21486.35,900.0,11800.0,22000.0,36200.0,191500.0
loan_term_months,5000.0,37.88,14.77,12.0,24.0,36.0,48.0,60.0
num_credit_lines,5000.0,4.01,2.01,0.0,3.0,4.0,5.0,13.0
debt_to_income,5000.0,0.26,0.14,0.0,0.15,0.24,0.35,0.8
previous_defaults,5000.0,0.16,0.45,0.0,0.0,0.0,0.0,2.0
default,5000.0,0.16,0.37,0.0,0.0,0.0,0.0,1.0
